x,y,layer1,layer2,voltage1,voltage2,current
3577.99,4031.26,GND,POWER,0.000811342,0.000806187,0.00293783
3577.99,4031.26,POWER,BOTTOM_LAYER,0.000806187,0.00080579,0.00293783
3577.99,4208.42,TOP_LAYER,GND,0.000775575,0.000775514,0.000453204
3577.99,4208.42,GND,POWER,0.000775514,0.000779053,-0.00201732
3577.99,4208.42,POWER,BOTTOM_LAYER,0.000779053,0.000779326,-0.00201732
3577.99,4234.01,TOP_LAYER,GND,0.000770617,0.000769515,0.00816726
3577.99,4234.01,GND,POWER,0.000769515,0.00077566,-0.00350226
3577.99,4234.01,POWER,BOTTOM_LAYER,0.00077566,0.000776132,-0.00350226
3586.85,3297.99,TOP_LAYER,GND,0.001449,0.00144907,-0.000545394
3586.85,3297.99,GND,POWER,0.00144907,0.00144985,-0.000447199
3586.85,3297.99,POWER,BOTTOM_LAYER,0.00144985,0.00144991,-0.000447199
3586.85,3337.36,TOP_LAYER,GND,0.001449,0.00144907,-0.000561608
3586.85,3337.36,GND,POWER,0.00144907,0.00144948,-0.000231264
3586.85,3337.36,POWER,BOTTOM_LAYER,0.00144948,0.00144951,-0.000231264
3586.85,3376.73,TOP_LAYER,GND,0.00144782,0.00144772,0.000720187
3586.85,3376.73,GND,POWER,0.00144772,0.0014489,-0.000671182
3586.85,3376.73,POWER,BOTTOM_LAYER,0.0014489,0.00144899,-0.000671182
3586.85,4365.9,TOP_LAYER,GND,0.000629068,0.000629181,-0.00084015
3586.85,4365.9,GND,POWER,0.000629181,0.000628465,0.000408086
3586.85,4365.9,POWER,BOTTOM_LAYER,0.000628465,0.00062841,0.000408086
3586.85,4405.27,TOP_LAYER,GND,0.000628635,0.000628583,0.000386745
3586.85,4405.27,GND,POWER,0.000628583,0.00062824,0.000195637
3586.85,4405.27,POWER,BOTTOM_LAYER,0.00062824,0.000628213,0.000195637
3586.85,4444.64,TOP_LAYER,GND,0.000628244,0.000628223,0.000152438
3586.85,4444.64,GND,POWER,0.000628223,0.000627885,0.000192553
3586.85,4444.64,POWER,BOTTOM_LAYER,0.000627885,0.000627859,0.000192553
3600.09,3687.75,TOP_LAYER,GND,0.00122758,0.00122748,0.000749159
3600.09,3687.75,GND,POWER,0.00122748,0.00123272,-0.0029829
3600.09,3687.75,POWER,BOTTOM_LAYER,0.00123272,0.00123312,-0.0029829
3601.62,3574.56,TOP_LAYER,GND,0.00125695,0.00125799,-0.00765902
3601.62,3574.56,GND,POWER,0.00125799,0.00125677,0.000695248
3601.62,3574.56,POWER,BOTTOM_LAYER,0.00125677,0.00125667,0.000695248
3602.6,4168.07,TOP_LAYER,GND,0.000782141,0.0007821,0.000297311
3602.6,4168.07,GND,POWER,0.0007821,0.000784435,-0.00133073
3602.6,4168.07,POWER,BOTTOM_LAYER,0.000784435,0.000784615,-0.00133073
3604.13,4054.88,TOP_LAYER,GND,0.000810152,0.000809876,0.00204507
3604.13,4054.88,GND,POWER,0.000809876,0.000806082,0.00216232
3604.13,4054.88,POWER,BOTTOM_LAYER,0.000806082,0.00080579,0.00216232
3605.55,3601.14,TOP_LAYER,GND,0.00125952,0.00125799,0.0113803
3605.55,3601.14,GND,POWER,0.00125799,0.00125314,0.00276505
3605.55,3601.14,POWER,BOTTOM_LAYER,0.00125314,0.00125276,0.00276505
3605.55,3664.13,TOP_LAYER,GND,0.00123543,0.00123618,-0.00558842
3605.55,3664.13,GND,POWER,0.00123618,0.0012413,-0.00291771
3605.55,3664.13,POWER,BOTTOM_LAYER,0.0012413,0.00124169,-0.00291771
3608.07,4081.45,TOP_LAYER,GND,0.000799796,0.000800171,-0.00278284
3608.07,4081.45,GND,POWER,0.000800171,0.00080065,-0.000273112
