x;y;layer1;layer2;voltage1;voltage2;current
3577.99;4208.42;POWER;BOTTOM_LAYER;1.07032e-05;1.07115e-05;-6.13747e-05
3577.99;4234.01;TOP_LAYER;GND;1.04373e-05;1.04024e-05;0.000258908
3577.99;4234.01;GND;POWER;1.04024e-05;1.05938e-05;-0.000109095
3577.99;4234.01;POWER;BOTTOM_LAYER;1.05938e-05;1.06085e-05;-0.000109095
3586.85;3297.99;TOP_LAYER;GND;3.47314e-05;3.47342e-05;-2.05799e-05
3586.85;3297.99;GND;POWER;3.47342e-05;3.47638e-05;-1.68707e-05
3586.85;3297.99;POWER;BOTTOM_LAYER;3.47638e-05;3.47661e-05;-1.68707e-05
3586.85;3337.36;TOP_LAYER;GND;3.47314e-05;3.47343e-05;-2.11432e-05
3586.85;3337.36;GND;POWER;3.47343e-05;3.47496e-05;-8.7214e-06
3586.85;3337.36;POWER;BOTTOM_LAYER;3.47496e-05;3.47508e-05;-8.7214e-06
3586.85;3376.73;TOP_LAYER;GND;3.46869e-05;3.46832e-05;2.71194e-05
3586.85;3376.73;GND;POWER;3.46832e-05;3.47276e-05;-2.52992e-05
3586.85;3376.73;POWER;BOTTOM_LAYER;3.47276e-05;3.47311e-05;-2.52992e-05
3586.85;4365.9;TOP_LAYER;GND;5.92309e-06;5.92671e-06;-2.68355e-05
3586.85;4365.9;GND;POWER;5.92671e-06;5.90361e-06;1.31694e-05
3586.85;4365.9;POWER;BOTTOM_LAYER;5.90361e-06;5.90183e-06;1.31694e-05
3586.85;4405.27;TOP_LAYER;GND;5.90937e-06;5.90769e-06;1.24732e-05
3586.85;4405.27;GND;POWER;5.90769e-06;5.89645e-06;6.40286e-06
3586.85;4405.27;POWER;BOTTOM_LAYER;5.89645e-06;5.89559e-06;6.40286e-06
3586.85;4444.64;TOP_LAYER;GND;5.897e-06;5.89632e-06;4.99727e-06
3586.85;4444.64;GND;POWER;5.89632e-06;5.8852e-06;6.33882e-06
3586.85;4444.64;POWER;BOTTOM_LAYER;5.8852e-06;5.88435e-06;6.33882e-06
3600.09;3687.75;TOP_LAYER;GND;2.63838e-05;2.63795e-05;3.17919e-05
3600.09;3687.75;GND;POWER;2.63795e-05;2.65694e-05;-0.000108213
3600.09;3687.75;POWER;BOTTOM_LAYER;2.65694e-05;2.6584e-05;-0.000108213
3601.62;3574.56;TOP_LAYER;GND;2.74838e-05;2.75213e-05;-0.000277357
3601.62;3574.56;GND;POWER;2.75213e-05;2.74732e-05;2.74229e-05
3601.62;3574.56;POWER;BOTTOM_LAYER;2.74732e-05;2.74695e-05;2.74229e-05
3602.6;4168.07;TOP_LAYER;GND;1.08092e-05;1.08072e-05;1.53455e-05
3602.6;4168.07;GND;POWER;1.08072e-05;1.08775e-05;-4.00748e-05
3602.6;4168.07;POWER;BOTTOM_LAYER;1.08775e-05;1.08829e-05;-4.00748e-05
3604.13;4054.88;TOP_LAYER;GND;1.17112e-05;1.17041e-05;5.27374e-05
3604.13;4054.88;GND;POWER;1.17041e-05;1.15787e-05;7.14352e-05
3604.13;4054.88;POWER;BOTTOM_LAYER;1.15787e-05;1.15691e-05;7.14352e-05
3605.55;3601.14;TOP_LAYER;GND;2.75777e-05;2.75213e-05;0.000418081
3605.55;3601.14;GND;POWER;2.75213e-05;2.73322e-05;0.000107748
3605.55;3601.14;POWER;BOTTOM_LAYER;2.73322e-05;2.73177e-05;0.000107748
3605.55;3664.13;TOP_LAYER;GND;2.66734e-05;2.67026e-05;-0.000216236
3605.55;3664.13;GND;POWER;2.67026e-05;2.68868e-05;-0.000104959
3605.55;3664.13;POWER;BOTTOM_LAYER;2.68868e-05;2.69009e-05;-0.000104959
3608.07;4081.45;TOP_LAYER;GND;1.13777e-05;1.13897e-05;-8.88786e-05
3608.07;4081.45;GND;POWER;1.13897e-05;1.13944e-05;-2.66456e-06
3608.07;4081.45;POWER;BOTTOM_LAYER;1.13944e-05;1.13947e-05;-2.66456e-06
3608.07;4144.45;TOP_LAYER;GND;1.10491e-05;1.10699e-05;-0.000153872
3608.07;4144.45;GND;POWER;1.10699e-05;1.10846e-05;-8.41766e-06
3608.07;4144.45;POWER;BOTTOM_LAYER;1.10846e-05;1.10858e-05;-8.41766e-06
3625.68;3687.75;TOP_LAYER;GND;2.62202e-05;2.62459e-05;-0.000190981
3625.68;3687.75;GND;POWER;2.62459e-05;2.64246e-05;-0.000101805
3625.68;3687.75;POWER;BOTTOM_LAYER;2.64246e-05;2.64383e-05;-0.000101805
3626.22;3297.99;TOP_LAYER;GND;3.49279e-05;3.49297e-05;-1.38247e-05
3626.22;3297.99;GND;POWER;3.49297e-05;3.49482e-05;-1.05179e-05
3626.22;3297.99;POWER;BOTTOM_LAYER;3.49482e-05;3.49496e-05;-1.05179e-05
3626.22;3337.36;TOP_LAYER;GND;3.49279e-05;3.49297e-05;-1.34392e-05
3626.22;3337.36;GND;POWER;3.49297e-05;3.49375e-05;-4.43879e-06
3626.22;3337.36;POWER;BOTTOM_LAYER;3.49375e-05;3.49381e-05;-4.43879e-06
3626.22;3376.73;TOP_LAYER;GND;3.49011e-05;3.49025e-05;-1.06952e-05
3626.22;3376.73;GND;POWER;3.49025e-05;3.49227e-05;-1.15029e-05
3626.22;3376.73;POWER;BOTTOM_LAYER;3.49227e-05;3.49242e-05;-1.15029e-05
3626.22;4365.9;TOP_LAYER;GND;5.78413e-06;5.78001e-06;3.059e-05
3626.22;4365.9;GND;POWER;5.78001e-06;5.77907e-06;5.35878e-07
3626.22;4365.9;POWER;BOTTOM_LAYER;5.77907e-06;5.77899e-06;5.35878e-07
3626.22;4405.27;TOP_LAYER;GND;5.77197e-06;5.77143e-06;4.00061e-06
3626.22;4405.27;GND;POWER;5.77143e-06;5.76619e-06;2.98716e-06
3626.22;4405.27;POWER;BOTTOM_LAYER;5.76619e-06;5.76578e-06;2.98716e-06
3626.22;4444.64;TOP_LAYER;GND;5.76252e-06;5.76218e-06;2.53989e-06
3626.22;4444.64;GND;POWER;5.76218e-06;5.75647e-06;3.25528e-06
3626.22;4444.64;POWER;BOTTOM_LAYER;5.75647e-06;5.75603e-06;3.25528e-06
3627.21;3574.56;TOP_LAYER;GND;2.75777e-05;2.76357e-05;-0.000429272
3627.21;3574.56;GND;POWER;2.76357e-05;2.76283e-05;4.1878e-06
3627.21;3574.56;POWER;BOTTOM_LAYER;2.76283e-05;2.76277e-05;4.1878e-06
3628.19;4168.07;TOP_LAYER;GND;1.06417e-05;1.06481e-05;-4.80447e-05
3628.19;4168.07;GND;POWER;1.06481e-05;1.07584e-05;-6.28226e-05
3628.19;4168.07;POWER;BOTTOM_LAYER;1.07584e-05;1.07669e-05;-6.28226e-05
3629.72;4054.88;TOP_LAYER;GND;1.17112e-05;1.17436e-05;-0.000240044
3629.72;4054.88;GND;POWER;1.17436e-05;1.16502e-05;5.32121e-05
3629.72;4054.88;POWER;BOTTOM_LAYER;1.16502e-05;1.1643e-05;5.32121e-05
3652.8;3573.58;TOP_LAYER;GND;2.76396e-05;2.76357e-05;2.94285e-05
3652.8;3573.58;GND;POWER;2.76357e-05;2.7853e-05;-0.000123904
3652.8;3573.58;POWER;BOTTOM_LAYER;2.7853e-05;2.78698e-05;-0.000123904
3655.75;4053.9;TOP_LAYER;GND;1.1759e-05;1.17436e-05;0.000113979
3655.75;4053.9;GND;POWER;1.17436e-05;1.17976e-05;-3.08109e-05
3655.75;4053.9;POWER;BOTTOM_LAYER;1.17976e-05;1.18018e-05;-3.08109e-05
3665.59;3297.99;TOP_LAYER;GND;3.51246e-05;3.51268e-05;-1.66533e-05
3665.59;3297.99;GND;POWER;3.51268e-05;3.51433e-05;-9.39981e-06
3665.59;3297.99;POWER;BOTTOM_LAYER;3.51433e-05;3.51446e-05;-9.39981e-06
3665.59;3337.36;TOP_LAYER;GND;3.51246e-05;3.51265e-05;-1.44001e-05
3665.59;3337.36;GND;POWER;3.51265e-05;3.51283e-05;-1.04826e-06
3665.59;3337.36;POWER;BOTTOM_LAYER;3.51283e-05;3.51285e-05;-1.04826e-06
3665.59;3376.73;TOP_LAYER;GND;3.50797e-05;3.50757e-05;2.9829e-05
3665.59;3376.73;GND;POWER;3.50757e-05;3.51057e-05;-1.71315e-05
3665.59;3376.73;POWER;BOTTOM_LAYER;3.51057e-05;3.51081e-05;-1.71315e-05
3665.59;4365.9;TOP_LAYER;GND;5.64942e-06;5.65164e-06;-1.6437e-05
3665.59;4365.9;GND;POWER;5.65164e-06;5.643e-06;4.92896e-06
3665.59;4365.9;POWER;BOTTOM_LAYER;5.643e-06;5.64233e-06;4.92896e-06
3665.59;4405.27;TOP_LAYER;GND;5.63666e-06;5.63644e-06;1.58167e-06
3665.59;4405.27;GND;POWER;5.63644e-06;5.63325e-06;1.82011e-06
3665.59;4405.27;POWER;BOTTOM_LAYER;5.63325e-06;5.633e-06;1.82011e-06
3665.59;4444.64;TOP_LAYER;GND;5.62341e-06;5.62324e-06;1.29795e-06
3665.59;4444.64;GND;POWER;5.62324e-06;5.62064e-06;1.47728e-06
3665.59;4444.64;POWER;BOTTOM_LAYER;5.62064e-06;5.62045e-06;1.47728e-06
3672.92;3504.68;TOP_LAYER;GND;2.85658e-05;2.86348e-05;-0.000511362
3672.92;3504.68;GND;POWER;2.86348e-05;2.84098e-05;0.00012824
3672.92;3504.68;POWER;BOTTOM_LAYER;2.84098e-05;2.83925e-05;0.00012824
3672.92;3530.27;TOP_LAYER;GND;2.83742e-05;2.83403e-05;0.000251151
3672.92;3530.27;GND;POWER;2.83403e-05;2.82035e-05;7.79529e-05
3672.92;3530.27;POWER;BOTTOM_LAYER;2.82035e-05;2.8193e-05;7.79529e-05
3672.92;3555.86;TOP_LAYER;GND;2.83144e-05;2.83403e-05;-0.000192253
3672.92;3555.86;GND;POWER;2.83403e-05;2.82035e-05;7.79529e-05
3672.92;3555.86;POWER;BOTTOM_LAYER;2.82035e-05;2.8193e-05;7.79529e-05
3672.92;3709.41;TOP_LAYER;GND;2.57687e-05;2.57946e-05;-0.000192118
3672.92;3709.41;GND;POWER;2.57946e-05;2.60235e-05;-0.000130442
3672.92;3709.41;POWER;BOTTOM_LAYER;2.60235e-05;2.60411e-05;-0.000130442
3672.92;3735;TOP_LAYER;GND;2.54737e-05;2.54264e-05;0.000350412
3672.92;3735;GND;POWER;2.54264e-05;2.57925e-05;-0.000208671
3672.92;3735;POWER;BOTTOM_LAYER;2.57925e-05;2.58207e-05;-0.000208671
3672.92;3760.59;TOP_LAYER;GND;2.54073e-05;2.54264e-05;-0.00014147
3672.92;3760.59;GND;POWER;2.54264e-05;2.56274e-05;-0.000114558
3672.92;3760.59;POWER;BOTTOM_LAYER;2.56274e-05;2.56429e-05;-0.000114558
3675.44;3985;TOP_LAYER;GND;1.21098e-05;1.21014e-05;6.22346e-05
3675.44;3985;GND;POWER;1.21014e-05;1.20627e-05;2.20331e-05
